text1,text2
"Pour une 1er expérience je suis très satisfaite, reçu dans les délais et les colis très bien emballé malgré leurs poids .","Pour une première expérience, je suis très satisfait, reçu dans le temps et les paquets très bien emballés malgré leur poids."
"Pièces d'origine et de qualité, service ultra rapide, rien à redire simplement parfait.","Pièces originales et de qualité, service ultra rapide, rien à dire simplement parfait."
Site très bien fait avec beaucoup de choix et des descriptifs complets. Produit conforme aux attentes et livraison rapide.,Site très bien fait avec beaucoup de choix et des descriptions complètes. Produit répond aux attentes et livraison rapide.
Très réactif,Très réactif
Délai de livraison respecté au plus cours des prévisions. Faciliter de trouver les pièces qui me sont utiles,Délai de livraison rencontré au maximum au cours de la prévision. Plus facile de trouver les pièces qui sont utiles pour moi
C’est bien compatible pour mon c3 hdi 2008 je recommande mercii,Il est bien compatible pour mon c3 hdi 2008 Je recommande de vous remercier
"Livraison très rapide. J étais en panne de batterie, un lundi soir, j’ai commandé, j’avais ma nouvelle batterie le mercredi début d’après-midi au top ! Excellent suivi et livraison, merci","Livraison très rapide. J'étais hors batterie, lundi soir, j'ai commandé, j'ai eu ma nouvelle batterie mercredi tôt l'après-midi au sommet! Excellent suivi et livraison, merci"
Livré en temps et en heure,Livré en temps et en heure
"Bonjour, produit qui convient, bon délai, opératrice a l écoute.","Bonjour, produit qui convient, bon retard, opérateur écoute."
Livraison rapide et produits conformes,Livraison rapide et produits conformes
"Nous avons trouvé facilement ce dont nous avions besoin, les prix sont intéressants et la livraison rapide, conforme au délai annoncé","Nous avons facilement trouvé ce dont nous avions besoin, les prix sont intéressants et la livraison rapide, conformément à l'heure annoncée"
Pièce commandée (tube d'échappement) reçue en moins de 48h après commande... trop forts!!! Merci Oscaro,Partie commandée (tube d'échappement) reçue en moins de 48 heures après commande... trop forte!!! Merci Oscaro
"Je regrette une seule chose, les emballages ne sont pas très au point et manque de sérieux, j'ai cherché à laisser un message sur le chat, on m'a répondu qu un message serait ajouté a la commande pour les préparateurs, qu ils renforcent la protection du colis pour parer les futures chocs des transporteurs, bin pas de chance, et oui... un petit colis dans un gros carton...bonjours le chekeur... Faire évoluer les choses ok, mais faite le...","Je regrette seulement une chose, l'emballage n'est pas très parfait et manque de sérieux, j'ai cherché à laisser un message sur le chat, on m'a dit qu'un message serait ajouté à l'ordre des préparateurs, qu'ils renforceraient la protection de l'emballage pour contrer les chocs futurs des transporteurs, bin pas de chance, et oui... un petit paquet dans une grande boîte... bien, le chekeur... pour changer les choses ok, mais fait le..."
"Bonjour, j’ai été surpris de voir dans quel état est arrivé mon colis (livraison en locker mondial relay), le carton qui contenait une pièce à 130€ était ouvert, le carton de la pièce lui même aurait mérité plus de protection car il était abimé. Heureusement j’ai vérifié que tout était intact et la que la pièce fonctionnait correctement. Faites attention aux emballages svp, si ça devait se reproduire, je ne commanderais plus chez vous. Cordialement.","Bonjour, j'ai été surpris de voir à quel point mon colis est arrivé (livré comme un relais de casier global), le carton qui contenait une pièce de 130 € était ouvert, le carton de la pièce elle-même aurait mérité plus de protection parce qu'il était endommagé. Heureusement, j'ai vérifié que tout était intact et la pièce fonctionnait correctement. Soyez prudent avec l'emballage s'il vous plaît, si cela devait se reproduire, je ne commanderais plus de vous. Cordialement."
"Délais respecté pour les 2 colis. Par contre, l'état extérieur d'un des colis était un peu moyen. Du papier bulles serait bienvenu pour caler les pièces commandées. Cordialement.","D'autre part, l'état extérieur de l'un des paquets était un peu moyen. Papier bulle serait bienvenu pour régler les pièces commandées. Cordialement."
Nous trouvons toujours les bonnes pièces,On trouve toujours les bons morceaux.
"la commande est arrivé dans le délais, matériel de bonne qualité, s'adapte parfaitement ,dommage la pompe pour vidanger le véhicule avait du mal a aspirer l'huile,j'ai demander un retour en garantie","la commande est arrivée dans le temps, matériau de bonne qualité, convient parfaitement, endommager la pompe pour égoutter le véhicule a eu du mal à aspirer l'huile, j'ai demandé une garantie de retour"
"Colis reçu ouvert : Carton long (balais essui glace) avec un seul scotch ""Oscaro"" de fermeture au milieu de la longueur ! un peu léger l'emballage avant expédition ... 2 côtés ouverts avec couvercle déchiré ! Un vrai miracle que tous les produits soient arrivés dans le colis !","Package reçu ouvert: Carton long (essuie-glace) avec un seul scotch ""Oscaro"" se fermant au milieu de la longueur! un petit emballage léger avant l'expédition ... 2 côtés ouverts avec couvercle déchiré! Un vrai miracle que tous les produits sont arrivés dans le package!"
Tarifs très avantageux pièces de bonnes quantités,Prix très avantageux parties de bonnes quantités
Client depuis longtemps pas de mauvaise surprise,Client depuis longtemps pas de mauvaise surprise
choix des références et juste prix,choix des références et prix équitables
"Produit recherché,envoi rapide, prix compétitif","Produit recherché, expédition rapide, prix compétitif"
"Livraison rapide, site internet fluide. Rapport qualité prix. Je recommande","Livraison rapide, site fluide. Rapport qualité / prix. Je recommande"
Excellent rapport qualité prix,Excellent rapport qualité-prix
Tapis corrects pour le prix. Livraison respectee au niveau delais.,Des tapis corrects pour le prix. Le respect de la livraison au niveau du délai.
Le choix et la qualité des produits sont bon. Les délais de traitement et acheminement des commandes sont chaotiques.,Le choix et la qualité des produits sont bons. Les temps de traitement et de routage des commandes sont chaotiques.
"Références faciles à trouver, délai de livraison respecter. Impeccable","Facile à trouver des références, délai de livraison à rencontrer."
Produit conforme arrivé à temps et en heure. Bravo.,Produit de conformité est arrivé à temps et à temps. Bravo.
"J'ai acheté rotule de suspension ""compatible avec mon véhicule"" mais au moment du montage, il s'avère qu'il est impossible de changer la pièce car elle fait partie intégrante du triangle. J'aurais aimer que la pièce soit indiquée ""non compatible"" étant donné qu'on ne peut pas la changer sur ce véhicule.","J'ai acheté une rotule de suspension ""compatible avec mon véhicule"" mais au moment de l'assemblage, il s'avère qu'il est impossible de changer la pièce parce qu'elle fait partie intégrante du triangle. J'aimerais que la pièce soit marquée ""incompatible"" car elle ne peut pas être changée sur ce véhicule."
L'expérience est bonne en ceci qu'il n'y a rien à signaler. Commande fluide et livraison conforme aux prévisions.,L'expérience est bonne en ce qu'il n'y a rien à signaler. Commande et livraison en douceur selon les prévisions.
bien. un peu plus de clarté ( de certitude) lorsqu 'il n'y a pas de pièce qui conviennent pour un modèle donné serait pas mal,Bien. un peu plus de clarté (de certitude) quand il n'y a pas de partie appropriée pour un modèle donné serait pas mauvais
Des colis toujours en attente de préparation alors que la livraison est prévue le samedi 10 janvier 2026 !,Les colis en attente de préparation pendant la livraison sont programmés le samedi 10 janvier 2026!
"Commande expédiée rapidement, produit conforme","Commande expédiée rapidement, le produit est conforme"
"Tous est OK, la commande, l' envoi, le suivie, la réception en avance, et les pièces ok merci","Tout va bien, la commande, l'expédition, le suivi, la réception à l'avance, et les pièces ok merci"
Bonjour quoi dire A part contrôler qui est le moins chère avec auto doc et c’est Oscaro qui gagne la commande Sur le prix et la qualité. Merci et changer pas vos prix surtout. Bonne journée.,Bonjour quoi dire En dehors du contrôle qui est le moins cher avec auto doc et Oscaro gagne la commande Sur le prix et la qualité. Merci et ne pas changer vos prix spécialement. Bonne journée.
Livraison rapide bien emballée l'article est conforme à la description,Livraison rapide bien emballé l'article est conforme à la description
Pièces expédié non compatible avec mon véhicule malgré la communication par téléphone avec un conseiller et l'immatriculation de mon véhicule et après livraison je rappelle pour expliquer que sa ne se monte pas sur mon véhicule on me confirme que ce n'est pas compatible avec mon véhicule et que vous ne faites pas mes pièces !!! Pourquoi alors expédié des pièces non compatible ???,Pièces expédiées non compatibles avec mon véhicule malgré la communication par téléphone avec un conseiller et l'immatriculation de mon véhicule et après la livraison Je me souviens d'expliquer que son ne s'adapte pas sur mon véhicule Je suis confirmé qu'il n'est pas compatible avec mon véhicule et que vous ne rendez pas mes pièces!!! Pourquoi alors les pièces expédiées ne sont pas compatibles ??
"Au niveau de la commande rien à dire, par contre pour la livraison dans un Mondial Relay (parfait) Dommage qu' il soit situé à plus de 10Km de chez moi ( Super U lavage à Thourotte). Alors qu'il y a un à 3.5Km de chez moi : (à la Neuville Carrefour Contact Ressons sur Matz.) Celui ci n'étant pas dans la liste.","Au niveau de la commande rien à dire, d'autre part pour la livraison dans un Relais Mondial (parfait) Dommages qu'il est situé à plus de 10 km de moi (Lavage Super U à Thurotte). Alors qu'il ya un 3,5 km de moi : (au Carrefour de Neuville Contact Allons à Matz.) Celui-ci n'est pas dans la liste."
"livraison rapide , produits conformes","livraison rapide , des produits conformes"
"Manque de contact direct par téléphone avec le service de SAV. Ceci dit, le SAV fonctionne bien.","Manque de contact téléphonique direct avec le service VAS. Cela dit, VAS fonctionne bien."
"Livraison dans un point relais a 12km de chez moi plutôt que le point relais a 1,5 km prévu a la base. Indépendant de la volonté doscaro, mais a revoir avec leur transporteur, surtout quand on achète des pièces auto et que le véhicule est en panne c'est plutôt embêtant. La bobine d'allumage que j'ai acheter n'avais pas la meme entraxe de trou donc impossible a fixer. J'ai du récupérer mon ancien support et déplacer les bobines pour se faire. Quand on paye pour le support + bobine c'est embêtant.....","Livraison dans un point de relais à 12km de ma maison plutôt que le point de relais à 1.5km prévu à la base. Indépendamment du testament doscaro, mais pour voir à nouveau avec leur transporteur, surtout lorsque vous achetez des pièces de voiture et le véhicule est cassé il est plutôt ennuyeux. La bobine d'allumage que j'ai acheté n'avait pas le même interax trou si impossible à réparer. Je devais récupérer mon ancien support et déplacer les rouleaux pour le faire. Quand vous payez pour le support + bobine c'est ennuyeux...."
produit conforme à la commande,produit conforme à la commande
SAV au top! Malheureusement une des buses de lave-glace n'était pas fonctionnelle à cause d'un perçage incomplet. Celle-ci a été remplacée très rapidement Très bonne communication Merci,"VAS au sommet! Malheureusement, l'une des buses de lave de glace n'était pas fonctionnelle en raison d'un forage incomplet. Celui-ci a été remplacé très rapidement Très bonne communication Merci"
"Prix correct, envoi aussi","Prix correct, expédition aussi"
Bon rapport qualité /prix et livraison rapide comme toujours,Bon rapport qualité-prix et livraison rapide comme toujours
Livraison rapide Produit conforme à la commande,Livraison rapide Le produit est conforme à la commande
"Très bien la livraison, dans les délais annocé, malgré les intempéries.","Très bien la livraison, dans les délais annoncés, malgré la météo."
Très bien conforme dans les délais Je recommande Peu cher,Très bien conforme dans les délais que je recommande pas cher
conforme et rapide,conforme et rapide
"Articles conformes correspondants à mon véhicule et de bonne qualité. Je regrette juste l'emballage léger qui s'est considérablement détérioré durant le transport, heureusement qu'il s'agissait de pièces solides... Certaines auraient même pu être égarées...","Articles conformes correspondant à mon véhicule et de bonne qualité. Je regrette simplement l'emballage léger qui s'est considérablement détérioré pendant le transport, heureusement qu'ils étaient des pièces solides... Certains auraient même pu être perdus..."
La période de préparation est vraiment trop longue après la validation de la commande !,La période de préparation est vraiment trop longtemps après la validation de la commande!
"Je suis obligé de retirer des étoiles pour la qualité de l'emballage problématique. Un carton fermé d'un tout petit morceau de scotch, rien pour caler, tout le matériel se baladait, aucune difficulté à regarder ce qu'il contient et même probablement à sortir du carton tout seul vu la grande ouverture non scotchée. Dans ces conditions cela me semble être un miracle que les 3 produits soient arrivés. 1 étoile pour l'emballage En points positifs les références commandées sont respectées, les prix très intéressants, donc à ce niveau très bien : 5 étoiles","Je suis obligé d'enlever les étoiles pour la qualité de l'emballage problématique. Une boîte fermée d'un très petit morceau de scotch, rien à réparer, tout le matériel était errant, aucune difficulté à regarder ce qu'il contient et même probablement à sortir du carton seul compte tenu de la grande ouverture non scotch. Dans ces conditions, il me semble être un miracle que les 3 produits sont arrivés. 1 étoile pour l'emballage Dans des points positifs les références commandées sont respectées, les prix très intéressants, donc à ce niveau très bien: 5 étoiles"
"La commande est simple, les pièces correspondent bien au véhicule et le délais de livraison est respecté.","La commande est simple, les pièces correspondent bien au véhicule et le délai de livraison est respecté."
rapidité au niveau commande,vitesse au niveau de la commande
Livré dans les temps facile a commander grâce à la plaque d'immatriculation très bon site je recommande.,Livré dans des temps faciles à commander grâce à la très bonne plaque d'immatriculation du site que je recommande.
"Bj commande conforme et articles de qualités . Juste un détail cependant, mon colis a été ""visité"" mais il ne manquait rien , je suggère que vos cartons d emballage soient vierge à l extérieur , sans OSCARO écrit dessus ! Quelque chose de valeur à l interieur et j aurai sans doute rien eu Merci","Bj commande conforme et des articles de qualité. Un seul détail cependant, mon paquet a été ""visité"" mais il n'y avait rien manquant, je suggère que vos cartons d'emballage soient vierges à l'extérieur, sans OSCARO écrit dessus! Quelque chose de précieux à l'intérieur et je n'avais probablement rien Merci"
bonjour les pièces sont bien mais des erreur de référence avec n° IMATRICULATION LIVRAISON LE 19 /6/ 25,"Bonjour, les pièces sont bonnes, mais erreur de référence sans l'IMATRICULATION LIVRAISON LE 19 /6/ 25"
"Le filtre à gazoil ne correspond pas au modèle de mon véhicule :( Expédition rapide mais avec 1 jour supplémentaire car le relais choisi ne pouvait recevoir les colis trop grands , donc perte de 24h. On m'a demandé de choisir un nouveau point relais, alors qu'oscaro aurait pu prévoir à l'avance. Le carton n'était pas adapté à la commande, il n'avait pas besoin d'être aussi grand.","Le filtre diesel ne correspond pas au modèle de mon véhicule: (expédition rapide mais avec 1 jour supplémentaire parce que le relais choisi ne pouvait pas recevoir les paquets trop grands, donc perte de 24h. On m'a demandé de choisir un nouveau point relais, tandis qu'Oscaro aurait pu prévoir à l'avance. Le carton n'était pas adapté à la commande, il n'avait pas besoin d'être si grand."
"Reference des pieces et delai d'appro = OK point noir : la qualité du transport, sur 3 cartons 2 sont arrivés endommagés heureusement sans gravite pour les pieces commandées mais cela dénote un manque de professionnalisme du transporteur","Référence des pièces et délai d'environ = OK point noir: la qualité du transport, sur 3 cartons 2 sont arrivés endommagés heureusement sans gravité pour les pièces commandées, mais cela indique un manque de professionnalisme du transporteur"
Plaquettes et disques de marque Bosch pour Captur 1. Montés aujourd'hui parfait! Prix correct et livrasion dans le délai imparti. Merci,Plaques et disques Bosch-marque pour Captur 1. Monté aujourd'hui parfait! Prix correct et livraison dans le délai spécifié. Merci
Emballage médiocre le carton était pas adapté à la marchandise beaucoup trop grand marchandise abîmé,Mauvais emballage le carton n'était pas adapté pour les marchandises beaucoup trop grandes marchandises endommagées
Parfait comprendre la discrétion et une bonne qualité prix,Parfait pour comprendre la discrétion et le prix de bonne qualité
Sur le produit il n’y a rien à dire ainsi que sur le délai de livraison. Cependant le colis dans le locker était ouvert et complètement dégradé. En soi ce n’est pas grave la pièce était intacte mais on peut penser que quelqu’un voulait voir le contenu du colis …,"Sur le produit il n'y a rien à dire ainsi que sur le délai de livraison. Cependant, le paquet dans le casier était ouvert et complètement dégradé. En soi, il n'est pas sérieux la partie était intacte mais on peut penser que quelqu'un voulait voir le contenu du paquet ..."
Livraison rapide la pièce commandé par numéro immatriculation pièces impeccable mise en place sans problème par moi même,Livraison rapide de la pièce commandée par numéro d'enregistrement pièces impeccables mis en place sans problème par moi-même
Rapide et efficace,Rapide et efficace
"Au top efficace , je vais recommander","Au sommet de l'efficacité, je recommanderai"
"Conforme à la commande, livraison dans les délais indiqués.","Conforme à la commande, livraison dans le délai spécifié."
"Envoie un peu long et emballage du vraiment médiocre reçu totalement déchiré ouvert défoncé, car Objet assez lourd et mis comme sa dans le colis sans aucun papier de calage vraiment médiocre la préparation du colis. Heureusement la pièce n'est pas abîmé","Envoie un peu long et l'emballage du vraiment médiocre reçu totalement déchiré haut ouvert, parce que l'objet assez lourd et mettre comme il dans le paquet sans aucun papier de réglage vraiment médiocre la préparation du paquet. Heureusement la pièce n'est pas endommagée"
Les pièces livrés ne correspondaient pas à mon véhicule malgré les conseils d'un technicien et le renseignement du véhicule avec la plaque d'immatriculation. À ce sujet pourquoi les frais de retour sont à ma charge ??. Dans l'attente de votre retour,Les pièces livrées ne correspondaient pas à mon véhicule malgré les conseils d'un technicien et les informations du véhicule avec la plaque d'immatriculation.
Livraison en deux colis séparés de 4 jours d’intervalle Kit embrayage conforme et bien monté Obligé de déposer pour l’assurer du bon diamètre disque car malgres l’immatriculation il y à beaucoup de kits différents Biellettes et rotules juste reçu Pas encore installées On l’air plus solide de celles d’origine Conclusion pièces conformes et semblent de qualité Délais annoncé non respectés donc véhicule immobilisé plus longtemps que prévu et travaux en 3 fois + 2 aller retours en points relais,Livraison en deux paquets séparés de 4 jours d'intervalle Kit embrayage conforme et bien monté Requis pour garantir un bon diamètre de disque parce que mauvais enregistrement il ya beaucoup de différents kits Bialettes et Patellas juste reçu Pas encore installé On semble plus solide de ces pièces de Conclusion d'origine et semblent de qualité Non respecté temps donc véhicule immobilisé plus longtemps que prévu et fonctionne en 3 fois + 2 retourner aux points relais
"Arrivée dans les temps. Pièce en parfait état et totalement compatible, avec comme seule info le N° de ma voiture","Arrivée dans le temps. Chambre en parfait état et entièrement compatible, avec comme seule information le N° de ma voiture"
Commande de 3 essuies glaces. Bon rapport qualité prix. Colis cependant mal emballé. Mondial relay ne prend pas soin des colis. Le carton est arrivé eventré. Heureusement les produits ne sont pas abîmés.,Commande de 3 essuie-glaces. Bon rapport qualité prix. Packages bien mal emballés. Relais du monde ne prend pas soin des colis. Le carton est arrivé ventilé. Heureusement les produits ne sont pas endommagés.
J'ai récupéré un colis en point relais qui avait été mal fermé par Oscaro. Il n'y avait qu'une petite bande de Scotch au milieu du carton ce qui fait qu'il était ouvert à chaque extrémité. C'est pour moi une négligence de la part du service expédition. Par chance il ne manquait rien !,J'ai récupéré un colis au point de relais qui avait été mal fermé par Oscaro. Il n'y avait qu'une petite bande de Scotch au milieu de la boîte qui l'a fait ouvrir à chaque extrémité. C'était pour moi une négligence de la part du service d'expédition. Heureusement il n'y avait rien manquant!
Produits et prix corrects,Produits et prix corrects
"je commande un alternateur le 2 janvier. On me promet une livraison pour le 6 janvier soit 4 jours plus tard. On est le 13 janvier (11 jours plus tard) et je n'ai toujours pas été livré. Je regarde le suivi de livraison et c'est prévu pour le 17 soit 15 jours pour une livraison promise en 4 jours. Je me retrouve sans voiture. J'essaye de trouver le numéro de téléphone du SAV mais rien sur le site web, impossible de les contacter, c'est une honte. Je déconseille Oscaro, une honte. J'ai jamais eu ce genre de problème avec mister auto.","Je commande un alternateur le 2 janvier. On m'a promis une livraison pour le 6 janvier ou 4 jours plus tard. C'est le 13 janvier (11 jours plus tard) et je n'ai toujours pas été livré. Je regarde le suivi de la livraison et il est prévu pour le 17 ou 15 jours pour une livraison promise dans 4 jours. Je me retrouve sans voiture. J'essaie de trouver le numéro de téléphone du VAS mais rien sur le site, impossible de les contacter, c'est une honte. Je conseille Oscaro, une honte. Je n'ai jamais eu ce genre de problème avec monsieur auto."
"Grande satisfaction de trouver encore des pièces pour ma voiture de 2007. Recherche très facile sur le site , prix raisonnables, livraison assez rapide. Même efficacité avec des pièces d'occasion pour un autre véhicule.","Grande satisfaction de trouver plus de pièces pour ma voiture 2007. Recherche très facile sur le site, prix raisonnables, livraison assez rapide. Même efficacité avec les pièces d'occasion pour un autre véhicule."
"Rapide, prix correct et facilité pour trouver les bonnes pièces","Rapide, prix correct et facile à trouver les bonnes pièces"
Très bon service fiable est prise rapide je recommande oscaro,Très bon service fiable est pris rapidement Je recommande oscaro
Colis reçu ouvert et manque un produit,Emballages reçus ouverts et manquants d'un produit
Je commande une pièce en fonte j'en reçois une en plastique...,"Je commande une pièce en fonte, j'en prends une en plastique..."
"La commande reçue n'était pas conforme, avec une courroie de distribution à la place d'un filtre à huile. J'ai renvoyé le produit que je n'avais pas commandé dès le lendemain mais 13 jours plus tard, Oscaro ne m'a toujours pas renvoyé le produit acheté. Le service client est déplorable est demande toujours d'attendre, malgré le fait d'avoir écrit qu'ils avaient fait une erreur de préparation. La considération du client est vraiment très basse chez Oscaro.","La commande reçue n'était pas conforme, avec une ceinture de distribution au lieu d'un filtre à huile. J'ai retourné le produit que je n'avais pas commandé le lendemain mais 13 jours plus tard, Oscaro n'a toujours pas retourné le produit acheté à moi. Le service à la clientèle est déplorable est toujours demandé d'attendre, malgré le fait qu'ils ont écrit qu'ils avaient fait une erreur en préparation."
"livraison rapide , recherche article tres claire , qualite prix tres bon","livraison rapide , recherche article très clair , prix de qualité très bon"
Toujours du retard sur la préparation de la commande et la livraison,Toujours retard dans la préparation et la livraison de la commande
"Disponibilité produit que j'ai commandé la 2e fois chez eux, prix et frais de livraison ok depuis l'application","Disponibilité du produit que j'ai commandé la 2ème fois à la maison, les prix et les frais d'expédition ok de l'application"
"Les délais de livraison sont inacceptables (2semaines), pour une commande ou tout était disponible..","Les délais de livraison sont inacceptables (2 semaines), pour une commande ou tout était disponible.."
"Bonjour, Je trouve vos prix bien placés, On peut encore vous poser des questions en direct, çà c'est très appréciable ! Merci.","Bonjour, je trouve vos prix bien placés, Nous pouvons toujours vous poser des questions en direct, c'est très reconnaissant! Merci."
"ça fait longtemps que j'utilise Oscaro , positif à 90%","J'utilise Oscaro depuis longtemps, 90 % positif."
Colis reçu dans les délais et en bon état,Colis reçus à temps et en bon état
Bon délai de livraison.,Bon délai de livraison.
Prix intéressant et recherche des références de pièces facilitée par la saisie de sa plaque immatriculation,Prix intéressant et recherche de références de pièces facilitées par l'entrée de sa plaque d'immatriculation
"J’ai reçu mes essuie glaces rapidement, facile à monter et à un prix imbattable","J'ai eu ma crème glacée essuyée rapidement, facile à monter et à un prix imbattable"
Le site est très bien mais la livraison est un peu longue,Le site est très bon mais la livraison est un peu longue
"Livraison super rapide , article parfait","Livraison ultra rapide , article parfait"
Je n'ai pas reçu mon colis...,Je n'ai pas eu mon paquet...
"Inadapté à mon véhicule bien que je vous dîtes ""compatible"". Fait disparaître par recouvrement les tablettes et vides poches derrières les fauteuils. Impossible d'avoir un tissu tendu, Qualité déplorable! Achat inutilisable pour mon véhicule FORD CMAX.","Inadapté à mon véhicule même si je dis ""compatible"". Fait disparaître en couvrant les tablettes et les poches vides derrière les fauteuils. Impossible d'avoir un tissu tendu, la qualité déplorable! Achat inutilisable pour mon véhicule FORD CMAX."
Je suis Client chez Oscaro depuis des années. Et toujours aussi satisfait a chaque commande. Produit conforme a mes attentes et a mon véhicule. Je recommande ce site sans problème,Je suis client chez Oscaro depuis des années. Et toujours satisfait de chaque commande. Produit conforme à mes attentes et mon véhicule. Je recommande ce site sans problèmes.
"Mes feu de recul fonctionne à nouveau, Excellente pression sur les pièces.. Merci ! Oscaro 👍🏼","Mon contre-feu fonctionne encore, Excellente pression sur les parties.. Merci! Oscaro"
"Trop long, délais de livraison non respecté, certaines pièces non adapté… je choisis Oscaro pour la rapidité et l’expertise de la compatibilité des pièces mais là, je suis déçu.","Trop longtemps, délais de livraison non respectés, certaines pièces non adaptées... Je choisis Oscaro pour la rapidité et l'expertise de la compatibilité des pièces mais je suis déçue ici."
Satisfait qualité prix et qualité de service,Prix de qualité satisfaisant et qualité du service
"Bizarre de ne vendre qu'un seul vérin de coffre, car quand un fonctionne cela suffit à maintenir le coffre ouvert. Donc on ne peut pas savoir si il y en a un qui ne fonctionne pas.On ne le sait que lorsque les deux sont HS.","C'est étrange de ne vendre qu'un seul cylindre de coffre, car quand on travaille, c'est suffisant pour garder le coffre ouvert.On ne peut donc pas savoir s'il y en a un qui ne marche pas.On ne sait que quand les deux sont HS."
Bonjour. j’ai donné cette note de cinq étoiles parce que j’étais satisfait du service oscaro et de la livraison,Bonjour. J'ai donné cette note cinq étoiles parce que j'étais satisfait du service oscaro et de la livraison
Site en ligne clair: .il m'a été très simple de trouver l'article ciblé après avoir renseigné la plaque immatriculation dudit véhicule,Site en ligne clair: .il était très simple pour moi de trouver l'article ciblé après avoir informé la plaque d'immatriculation du véhicule
"Choix, prix, rapidité, parfait","Choix, prix, vitesse, parfait"
La livraison a été détestable : carton défoncé,La livraison a été détestable: le carton a été lapidé
"Au jour d'aujourd'hui, j'attends toujours des commandes, les colis arrivent en compte gouttes...et sont reparti un peux partout dans des point Relay loin de chez moi...je suis vraiment déçu... Et subi le problème sans rien pouvoir faire,ayant plusieurs véhicules en attente de pièces...!!!!","Le jour d'aujourd'hui, j'attends toujours les commandes, les colis arrivent dans les comptes déroulants... et sont revenus un peu partout dans les points Relais loin de chez moi... Je suis vraiment déçu... Et j'ai souffert du problème sans pouvoir faire quoi que ce soit, ayant plusieurs véhicules en attente de pièces...!!!!"
"Merci Oscaro pour la leçon : on entre sa plaque, le site dit “adapté à votre véhicule”… mais en fait non. Résultat : pièce inutilisable et 10 € de frais de retour, même pour un petit article. Et quand on demande des explications, le service client répond qu’il n’y a rien à faire, malgré plusieurs échanges sur plusieurs jours. Donc merci pour cette expérience : j’ai payé 10 balles pour apprendre qu’avec Oscaro, même quand c’est eux qui se trompent, c’est vous qui sortez le portefeuille.","Merci Oscaro pour la leçon: on entre dans son assiette, le site dit adapté à votre véhicule... mais en fait non. Résultat: partie inutilisable et 10 € frais de retour, même pour un petit article. Et quand on demande des explications, le service client répond qu'il n'y a rien à faire, malgré plusieurs échanges sur plusieurs jours. Merci pour cette expérience: J'ai payé 10 balles pour apprendre cela avec Oscaro, même quand ils ont tort, c'est vous qui retirez le portefeuille."
"J’ai commandé avec une livraison plus chère pour l’avoir 3 jrs après, ma commande a été traiter tard. Du coup j’ai reçu mon colis 1 semaine après","J'ai commandé avec une livraison plus chère d'avoir 3 jrs après, ma commande a été traitée tard. Donc, j'ai reçu mon colis 1 semaine après"
"Le respect des délais, les problèmes sont traités rapidement.","Rapidité, les problèmes sont traités rapidement."
"Pièce parfaitement compatible, à voir dans le temps.","Pièce parfaitement compatible, à voir dans le temps."
"Livré 1 jour en avance sur mon emplacement de camping, piece identique à l origine","Livré 1 jour à l'avance sur mon camping, chambre identique à l'original"
très bon essuies glace monté dès réception en point relais du colis quand il neigé efficace de suite.,très bonnes essuie-glace montées à la réception au point de relais du colis lorsqu'il neige efficacement dans une rangée.
Commande et livraison super rapide. Merci.,Commande et livraison super rapide. Merci.
Toujours à l'écoute et disponible,Toujours à l'écoute et disponible
"Bonjour, Un des trois colis ne correspond pas à commande et un autre est arrivé sans bouchon.","Bonjour, un des trois paquets ne correspond pas à la commande et un autre est venu sans un bouchon."
rien a signaler juste a savoir si les pièce sont bien compatible au montage,rien à signaler juste pour savoir si les pièces sont compatibles avec l'assemblage
Livraison rapide et produits conformes à la description.,Livraison rapide et produits selon la description.
Pour la rapidité mais colis endommagé ni,Pour la vitesse mais les colis endommagés ou
"Ma dernière commande est arrivée avec 4articles sur 7 manquants. Les moins chers et les moins volumineux manquaient dans le colis, c'est étrange. Les autres articles étaient un peu moins cher que leurs concurrents mais au final quand on refait le calcul avec les produits manquants ils sont légèrement plus cher ; ) ... Il semblerait qu'il n'y ait pas de contrôles lors des expéditions, je ne recevrait jamais ces pièces que j'ai pourtant payées ! C'est la dernière commande que je passe chez eux, je déconseille fortement de commander chez Oscaro.","Ma dernière commande est venue avec 4 articles manquants sur 7. Le moins cher et le moins volumineux étaient manquants dans le paquet, c'est étrange. Les autres articles étaient un peu moins chers que leurs concurrents mais à la fin quand nous avons recalculé avec les produits manquants ils sont légèrement plus chers ; ) ... Il semble qu'il n'y a pas de contrôles pendant les expéditions, je ne recevrais jamais ces pièces que j'ai payé pour! C'est la dernière commande que je place à la maison, je conseille fortement contre commande d'Oscaro."
"Le paquet ne tenait que à 1 scotch, du coup je l'ai eu tout ouvert Sinon rapidité pas de problème","Le paquet n'était qu'environ 1 scotch, donc je l'ai tout ouvert ou rapide, aucun problème."
"Bonjours, Vous y êtes sans doute pour rien mais les cartons de ma commande etaient tous ouvert… Vos prestataires manquent de sérieux !! Bertrand.","Bonjour, Vous êtes probablement pour rien, mais les boîtes de ma commande étaient toutes ouvertes... Vos fournisseurs de services manquent de sérieux !! Bertrand."
"Très bon rapport qualité et prix , livraison rapide","Très bonne qualité et rapport de prix , livraison rapide"
Produit conforme et livraison express parfait,Produit compatible et livraison express parfaite
